Tweet Id,Text,Name,Screen Name,Created At,Favorites,Retweets,Language,Client,Tweet Type,Media Type,URLs,Hashtags,Mentions
1002248771143700480,"These new tariffs will hurt our state, our energy industry, our economy. Not only does Texas import more steel and aluminum than any other state in the country but our two largest trading partners are Mexico and Canada. 
https://t.co/JXl51raC65",Beto O'Rourke,BetoORourke,Thu May 31 18:01:42 +0000 2018,2121,1226,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,1,0,0
1002315710549422081,"Energized after a positive, thoughtful, and pragmatic discussion with community leaders from Beaumont, Port Arthur, and Orange. Grateful for the time and ideas they shared with me. https://t.co/ToRzEf1gse",Beto O'Rourke,BetoORourke,Thu May 31 22:27:42 +0000 2018,725,205,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,Photo,0,0,0
1002340272502603776,"Dangerous for Texas. 
""The Lone Star State could bear the brunt of this latest broadside."" https://t.co/JnxAlHmgfg",Beto O'Rourke,BetoORourke,Fri Jun 01 00:05:18 +0000 2018,621,367,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,1,0,0
1002384009266126848,"So cool! Four Dallas area students advanced to the finals of today's national spelling bee. Representing Frisco, Irving, McKinney, and Flower Mound! https://t.co/LMobfceSrv",Beto O'Rourke,BetoORourke,Fri Jun 01 02:59:05 +0000 2018,1809,312,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,1,0,0
1002541440906481669,"No wonder people think our campaign finance system is rigged when you can make $20,000 in illegal contributions, be charged, plead guilty, be sentenced, and then receive a pardon. We need to get big money out of politics, end PACs, reverse Citizens United, get our Democracy back.",Beto O'Rourke,BetoORourke,Fri Jun 01 13:24:40 +0000 2018,46589,14103,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,0
1002573782157090817,"""We'd go further to argue that one way to strengthen American security is to bolster our economy. And getting into a trade war with key NAFTA and European partners will undercut our economic prospects."" https://t.co/FvLQPRDuNB",Beto O'Rourke,BetoORourke,Fri Jun 01 15:33:11 +0000 2018,380,203,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,1,0,0
1002589440701804544,"There could be no state hit harder than Texas. More than 2.6 million jobs at risk overall with the new steel and aluminum tariffs threatening 470,000. 
https://t.co/pyRCntKoJF",Beto O'Rourke,BetoORourke,Fri Jun 01 16:35:24 +0000 2018,1126,754,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,,1,0,0
1002592542871965696,"As I said at our Midland town hall back in April, whether it's the energy we produce, the cotton we grow, the cattle we raise, all of this has a connection to the rest of the world. These trade wars are really bad for the Texas economy.
https://t.co/70izgiC53r",Beto O'Rourke,BetoORourke,Fri Jun 01 16:47:44 +0000 2018,856,402,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,,1,0,0
1002675065169817600,"Texas could be hit harder than any other state by these kinds of tariffs. Trump’s trade policies will devastate our state, businesses, &amp; economy. Senator Cruz should have explained that to the president while they were riding together last month.",Beto O'Rourke,BetoORourke,Fri Jun 01 22:15:38 +0000 2018,3922,1915,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,,0,0,0
1002675281994403840,You could start with the fact that Texas is home to the San Antonio-based Toyota manufacturing plant and the company’s new North America HQ in Plano. No automaker will be hit harder by these tariffs. Prices of cars will have to go up.,Beto O'Rourke,BetoORourke,Fri Jun 01 22:16:30 +0000 2018,581,226,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Reply,,0,0,0
