Tweet Id,Text,Name,Screen Name,Created At,Favorites,Retweets,Language,Client,Tweet Type,Media Type,URLs,Hashtags,Mentions
925799910003355650,My heart is with those who are injured and lost loved ones yesterday. New York and our region will prove again we are stronger than hate. https://t.co/8DVfx7iKt7,Cory Booker,CoryBooker,Wed Nov 01 19:01:13 +0000 2017,1084,155,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,,1,0,0
926152823708049411,Money bail is an urgent issue—grateful to Senators Harris &amp; Paul &amp; @essie4justice for addressing this injustice: https://t.co/KlG1H9382K,Cory Booker,CoryBooker,Thu Nov 02 18:23:34 +0000 2017,138,35,English,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,,1,0,1
926183590463004672,.@CoryBooker &amp; @SenSherrodBrown Introduce Bill Aimed at Outsourcing Trend: https://t.co/aSjnSABRJk,Cory Booker,CoryBooker,Thu Nov 02 20:25:50 +0000 2017,0,9,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,0,2
926183667952734208,.@CoryBooker Presses @TheJusticeDept &amp; @FTC on Corporate Concentration &amp; its Impact on Competition in Labor Market: https://t.co/eTOxYce5OW,Cory Booker,CoryBooker,Thu Nov 02 20:26:08 +0000 2017,0,11,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,0,3
926183699741380608,Cory Booker wants antitrust regulators to start paying attention to workers https://t.co/cDhGaE7otw,Cory Booker,CoryBooker,Thu Nov 02 20:26:16 +0000 2017,0,48,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,0,0
926183727532781569,"RT: Starting today through December 15th #GetCovered and sign up for quality, affordable health care → https://t.co/MLOA2Ts0BJ https://t.co/zbzSS2eV9X",Cory Booker,CoryBooker,Thu Nov 02 20:26:22 +0000 2017,0,507,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,Video,1,1,0
926183779508588545,I'm calling on @FTC and @TheJusticeDept to start prioritizing American workers first when evaluating rising corporate concentration. https://t.co/q2a0EkHKPY,Cory Booker,CoryBooker,Thu Nov 02 20:26:35 +0000 2017,0,35,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,0,2
926184015199076352,Need health coverage? Open Enrollment starts today! Find an affordable plan &amp; #GetCovered → https://t.co/MLOA2Ts0BJ https://t.co/z7V5XcIiy3,Cory Booker,CoryBooker,Thu Nov 02 20:27:31 +0000 2017,0,298,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,Photo,1,1,0
926574423146196992,Our diversity is our strength. This is outrageous and unacceptable. It is cowardly &amp; disgusting. 🚮 https://t.co/j1iYqauGrH,Cory Booker,CoryBooker,Fri Nov 03 22:18:52 +0000 2017,957,387,English,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,,1,0,0
926599175856410625,.@CoryBooker: Trump's unfair tax plan will harm average New Jerseyans: https://t.co/lN7rLuna4z,Cory Booker,CoryBooker,Fri Nov 03 23:57:13 +0000 2017,0,148,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,0,1
