Tweet Id,Text,Name,Screen Name,Created At,Favorites,Retweets,Language,Client,Tweet Type,Media Type,URLs,Hashtags,Mentions
1096127118331731968,Looking forward to hearing from @GovBillWeld tomorrow at #PoliticsandEggs! https://t.co/NUyxPPkvEh #fitn #nhpolitics @nhiop,Gov. Bill Weld,GovBillWeld,Thu Feb 14 19:20:44 +0000 2019,0,17,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Retweet,,1,3,2
1096409460430368773,"""It is time for all people of good will to take a stand and plant a flag...It's for this reason that I have today established an Exploratory Committee to pursue  the possibility for my running for the Presidency of the United States as a Republican in the 2020 election."" https://t.co/LUrsyyo1fP",Gov. Bill Weld,GovBillWeld,Fri Feb 15 14:02:40 +0000 2019,6000,1446,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,Photo,0,0,0
1096476948040245253,Here's the money quote from Bill Weld's 2020 announcement https://t.co/0FACtLca2I,Gov. Bill Weld,GovBillWeld,Fri Feb 15 18:30:50 +0000 2019,0,408,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Retweet,Photo,0,0,0
1096485669717856263,"This is not simply an act of protest. I will not sit quietly on the sidelines any longer while our President praises despotic leaders, insults democratic allies, unravels arms control agreements and rails against the rule of law. https://t.co/aDtLd9malV",Gov. Bill Weld,GovBillWeld,Fri Feb 15 19:05:30 +0000 2019,18987,4193,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,,1,0,0
1096514775507443712,https://t.co/mRYsIXBDuz,Gov. Bill Weld,GovBillWeld,Fri Feb 15 21:01:09 +0000 2019,117,33,Undetermined,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,,1,0,0
1096515993613070337,@HowardPinsky2 Thanks Howard! https://t.co/C56mh7clb4,Gov. Bill Weld,GovBillWeld,Fri Feb 15 21:05:59 +0000 2019,33,2,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Reply,,1,0,1
1096516476222214146,@jneary94 Sign up here.  Thanks.  https://t.co/C56mh7clb4,Gov. Bill Weld,GovBillWeld,Fri Feb 15 21:07:54 +0000 2019,54,7,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Reply,,1,0,1
1096519066716721154,Bill Weld’s Quixotic Primary Bid Against Trump Could at Least Make Things Interesting https://t.co/HYTRYR6azZ,Gov. Bill Weld,GovBillWeld,Fri Feb 15 21:18:12 +0000 2019,0,40,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Retweet,,1,0,0
1096583211985981441,The former Massachusetts governor is ready for one last leap in the dark. https://t.co/kD5k348y6R,Gov. Bill Weld,GovBillWeld,Sat Feb 16 01:33:05 +0000 2019,0,82,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Retweet,,1,0,0
1096851448292229120,https://t.co/dga4IRatxE,Gov. Bill Weld,GovBillWeld,Sat Feb 16 19:18:58 +0000 2019,226,29,Undetermined,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,,1,0,0
1096855174780317696,"""The United States was founded in the spirit of national unity. America is stronger, and can afford to be more generous, when it is united rather than divided."" #Weld2020",Gov. Bill Weld,GovBillWeld,Sat Feb 16 19:33:46 +0000 2019,1230,214,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,,0,1,0
1097143452360310791,I'll be on @ThisWeekABC this morning. #weld2020,Gov. Bill Weld,GovBillWeld,Sun Feb 17 14:39:17 +0000 2019,229,26,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,,0,1,1
1097167890745303040,"We are faced with a President who has to humiliate whoever he's dealing with or else he's half a man. The emergency declaration is just one example. Congress thought they had a deal. He says, oh, you think you have a deal? I'll show you who's boss. It's no way to run a railroad.",Gov. Bill Weld,GovBillWeld,Sun Feb 17 16:16:24 +0000 2019,2562,526,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,,0,0,0
1097177138090860544,Pleasure speaking with you this morning @MarthaRaddatz https://t.co/MBAa3JHBb1,Gov. Bill Weld,GovBillWeld,Sun Feb 17 16:53:08 +0000 2019,180,29,English,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Tweet,,1,0,1
1097188442608492545,@SandraBeechey @dcasapwarren @SandySnoble63 Join us at https://t.co/DrbWzdDhIN and let's end the insanity now.,Gov. Bill Weld,GovBillWeld,Sun Feb 17 17:38:04 +0000 2019,3,1,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Reply,,1,0,3
1097188818447421445,@GovBillWeld In the unlikely case that you make it to the NY primary I might consider re register as a Republican,Gov. Bill Weld,GovBillWeld,Sun Feb 17 17:39:33 +0000 2019,0,8,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Retweet,,0,0,1
1097189141748609024,This is about much more than party now. It's about American values and what's right. Join us at https://t.co/DrbWzdDhIN. https://t.co/ON7FEwhk0W,Gov. Bill Weld,GovBillWeld,Sun Feb 17 17:40:50 +0000 2019,164,25,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,,2,0,0
1097190351494877185,You interested? https://t.co/QOGlAWx84v,Gov. Bill Weld,GovBillWeld,Sun Feb 17 17:45:39 +0000 2019,183,12,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,,1,0,0
1097197063828320257,"@realDonaldTrump The real ""enemy of the people"" is reckless spending with a national debt surpassing $22 trillion.  It's going to crush Generation Xers and millennials.",Gov. Bill Weld,GovBillWeld,Sun Feb 17 18:12:19 +0000 2019,1913,230,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Reply,,0,0,1
1097198994206457856,"@billmaher When are you going to have @GovBillWeld on the show?
#RepublicanClassic #RealTime",Gov. Bill Weld,GovBillWeld,Sun Feb 17 18:19:59 +0000 2019,0,10,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Retweet,,0,2,2
