Tweet Id,Text,Name,Screen Name,Created At,Favorites,Retweets,Language,Client,Tweet Type,Media Type,URLs,Hashtags,Mentions
289432755526332416,Gov. starts 2013 State of the State Address #coleg,John Hickenlooper,Hickenlooper,Thu Jan 10 18:05:20 +0000 2013,1,5,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,,0,1,0
289433101774512128,"2012 was a hard year - wildfires, shootings, lives lost. Gov calls for a moment of silence. #coleg",John Hickenlooper,Hickenlooper,Thu Jan 10 18:06:43 +0000 2013,0,2,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,,0,1,0
289434246064521218,"In hardest times we reach out, look beyond sorrow to the horizon. Belief in a better tomorrow, the story of the west.  #coleg",John Hickenlooper,Hickenlooper,Thu Jan 10 18:11:16 +0000 2013,2,13,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,,0,1,0
289435261966901248,The road to the Super Bowl goes through Denver - Go Broncos! #coleg,John Hickenlooper,Hickenlooper,Thu Jan 10 18:15:18 +0000 2013,3,11,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,,0,1,0
289435547926155264,"With our improving economy, we have beginnings of a reserve fund and are restoring funding for education #coleg",John Hickenlooper,Hickenlooper,Thu Jan 10 18:16:26 +0000 2013,0,2,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,,0,1,0
289435689798488064,Our focus in on jobs and our goal is to make Colorado the best state for entrepreneurship and business. #coleg,John Hickenlooper,Hickenlooper,Thu Jan 10 18:17:00 +0000 2013,3,6,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,,0,1,0
289435911412928512,"We engaged Coloradans through TBD Colorado, launched LEAN projects, increased efficiency + cut red tape.",John Hickenlooper,Hickenlooper,Thu Jan 10 18:17:53 +0000 2013,0,2,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,,0,0,0
289436129437052928,State employees identified $2.1m/annual savings + a better budget approach for CDOT to create jobs + improve roads. #coleg,John Hickenlooper,Hickenlooper,Thu Jan 10 18:18:45 +0000 2013,0,3,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,,0,1,0
289436492357582848,Colorado voters passed AmendmentS....bringing the state's outdated personnel system into the 21st century. #coleg,John Hickenlooper,Hickenlooper,Thu Jan 10 18:20:11 +0000 2013,1,2,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,,0,1,0
289436717000302592,we have a task force hard at work on A64 to implement this new law in a way that promotes the health + safety of all Coloradans. #coleg,John Hickenlooper,Hickenlooper,Thu Jan 10 18:21:05 +0000 2013,0,2,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,,0,1,0
