Tweet Id,Text,Name,Screen Name,Created At,Favorites,Retweets,Language,Client,Tweet Type,Media Type,URLs,Hashtags,Mentions
1018141180490641408,The 10am canvass launch in Tilton is so packed can’t even fit it all in one photo! Thank you @JohnKDelaney for kicking off our canvass for @BillBoltonNH &amp; @MasonDonovanNH7 #nhpolitics #nhunited https://t.co/iLwfC4n4ET,John Delaney,JohnDelaney,Sat Jul 14 14:32:28 +0000 2018,0,5,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,Photo,0,2,2
1018148514390593537,Be sure to vote for @MasonDonovanNH7 and @BillBoltonNH in November! @NHDems #NHUnited #NHPolitics https://t.co/iA8yAZjYXq,John Delaney,JohnDelaney,Sat Jul 14 15:01:36 +0000 2018,13,8,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,Photo,0,2,3
1018180313468538880,2020 WATCH: Declared presidential candidate ⁦@JohnKDelaney⁩ joins ⁦@NHDems⁩ ⁦@ChairmanBuckley⁩ at ⁦@ManchesterDems⁩ annual summer picnic. It’s the Congressman from Maryland’s 10th trip to NH since announcing his bid a year ago #nhpolitics #FITN https://t.co/EQ5ydrYlMz,John Delaney,JohnDelaney,Sat Jul 14 17:07:58 +0000 2018,0,3,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,Photo,0,2,3
1018180510068170752,Glad to be back! https://t.co/FuXD209E3y,John Delaney,JohnDelaney,Sat Jul 14 17:08:45 +0000 2018,11,0,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,1,0,0
1018201799076057089,"No surprises here. There aren't any winners in trade wars, and the losers are American businesses and hardworking families. We need 21st-century trade policies for a 21st-century economy. https://t.co/fWVjkelsvc",John Delaney,JohnDelaney,Sat Jul 14 18:33:20 +0000 2018,9,2,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,1,0,0
1018273515093544960,"Great way to end a long day of campaigning at a house party in Holderness with @JohnKDelaney. Excited to get back at it tomorrow with canvassing, a community concert, and our Tilton house party! #nhpolitics https://t.co/mAzBN0isPL",John Delaney,JohnDelaney,Sat Jul 14 23:18:19 +0000 2018,0,3,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,Photo,0,1,0
1018276165889548288,Thank you to the @ManchesterDems for inviting me to their annual summer picnic. Always great seeing my friend @ChairmanBuckley! #NHPolitics #fitn https://t.co/0f2Cx1I8Qf,John Delaney,JohnDelaney,Sat Jul 14 23:28:51 +0000 2018,10,2,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,Photo,0,2,2
1018528794402066433,Day 3 of my tenth New Hampshire trip is off to a great start! Thank you to Rep.Marjorie Porter for having me at your house in Hillsboro today #NHpolitics #fitn https://t.co/1YEm4EV9qI,John Delaney,JohnDelaney,Sun Jul 15 16:12:42 +0000 2018,20,3,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,Photo,0,2,0
1018529691190341633,"It was a pleasure meeting you, Joelle https://t.co/7syd0FsPMx",John Delaney,JohnDelaney,Sun Jul 15 16:16:16 +0000 2018,4,0,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,1,0,0
1018533287139205126,Ran into @JennForSenate in Hillsboro today. Make sure you vote Jenn for State Senate this November. #NHPolitics #fitn https://t.co/OygRRhfQ4n,John Delaney,JohnDelaney,Sun Jul 15 16:30:33 +0000 2018,18,1,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,Photo,0,2,0
1018580996915163136,Beautiful summer day for a BBQ. Special thanks to the Dunbarton Democrats for hosting! #NHPolitics #fitn https://t.co/qx1Y6RLexW,John Delaney,JohnDelaney,Sun Jul 15 19:40:08 +0000 2018,9,2,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,Photo,0,2,0
