Tweet Id,Text,Name,Screen Name,Created At,Favorites,Retweets,Language,Client,Tweet Type,Media Type,URLs,Hashtags,Mentions
780815769298800640,"On Nov. 8th, you have the opportunity to make your voice heard about whom you want to lead our community &amp; country → https://t.co/XeVpJBMv3F",Tulsi Gabbard,TulsiGabbard,Tue Sep 27 17:06:00 +0000 2016,55,33,English,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Tweet,,1,0,0
780851000907223040,"We must choose to reject the politics of hate and instead embrace a culture of love, strength, peace, and tolerance.",Tulsi Gabbard,TulsiGabbard,Tue Sep 27 19:26:00 +0000 2016,206,72,English,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Tweet,,0,0,0
780907122288578560,"Wells Fargo executives must be held accountable for their company policies which punished honest people. 
https://t.co/zrIIRim2gR",Tulsi Gabbard,TulsiGabbard,Tue Sep 27 23:09:01 +0000 2016,153,85,English,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Tweet,,1,0,0
780935072115326976,"A $1.5 billion arms sale to Saudi Arabia while they drop bombs on civilian facilities in Yemen is ridiculous. 
https://t.co/TcEc7qg6SM",Tulsi Gabbard,TulsiGabbard,Wed Sep 28 01:00:04 +0000 2016,272,242,English,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Tweet,,1,0,0
780970036814974976,Enough devastation. Enough human suffering. We must end this counterproductive interventionist war in Syria.,Tulsi Gabbard,TulsiGabbard,Wed Sep 28 03:19:01 +0000 2016,378,182,English,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Tweet,,0,0,0
781206878906830850,Mahalo to the Chamber of Maui Political Action Committee &amp; @MauiChamber for their endorsement. Small businesses are the backbone of the U.S.,Tulsi Gabbard,TulsiGabbard,Wed Sep 28 19:00:08 +0000 2016,38,13,English,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Tweet,,0,0,1
781242833369911296,Water is life. That's why we must stop building pipelines which risk contaminating local water supplies &amp; endanger our environment. #noDAPL,Tulsi Gabbard,TulsiGabbard,Wed Sep 28 21:23:00 +0000 2016,825,562,English,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Tweet,,0,1,0
781248996018794496,Hawaiian Patsy Mink ran for pres in 1972 after promoting women's equality with #TitleIX. @TulsiGabbard @TulsiPress https://t.co/tX8C4A5cLL,Tulsi Gabbard,TulsiGabbard,Wed Sep 28 21:47:30 +0000 2016,0,22,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,1,2
781251290236129280,"Just voted for funding to help Flint, MI deal with their lead poisoning water crisis. Passed 284-141 #waterislife #FlintWaterCrisis",Tulsi Gabbard,TulsiGabbard,Wed Sep 28 21:56:37 +0000 2016,212,94,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,2,0
781259029897211908,"@glifencibles Yes. And 1 person voted ""Present""",Tulsi Gabbard,TulsiGabbard,Wed Sep 28 22:27:22 +0000 2016,1,1,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,0,1
781299960302047232,"This bill will help ensure veterans’ calls to crisis centers are answered quickly; not met by voicemail. 
https://t.co/rI9ezbvtOX",Tulsi Gabbard,TulsiGabbard,Thu Sep 29 01:10:01 +0000 2016,132,68,English,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Tweet,,1,0,0
781510605513428994,Bees are vital to our ecosystem. @USDA must take decisive action to save our nation’s bees from extinction. #TBT https://t.co/42QqpQYuGG,Tulsi Gabbard,TulsiGabbard,Thu Sep 29 15:07:02 +0000 2016,272,118,English,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Tweet,Photo,0,1,1
781540293224992768,"Providing emergency funding for those still suffering from #FlintWaterCrisis was critical and long overdue. 
https://t.co/hb1RjNK2Ds",Tulsi Gabbard,TulsiGabbard,Thu Sep 29 17:05:00 +0000 2016,83,46,English,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Tweet,,1,1,0
781540481318649856,"The people of Flint, Michigan deserve the financial resources to reverse the devastating effects of this water crisis.",Tulsi Gabbard,TulsiGabbard,Thu Sep 29 17:05:45 +0000 2016,71,40,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Reply,,0,0,0
781569293620121600,Wells Fargo CEO announced he will forfeit $41M in unvested equity &amp; forgo his $2.8M salary while Wells Fargo is being investigated.,Tulsi Gabbard,TulsiGabbard,Thu Sep 29 19:00:15 +0000 2016,104,40,English,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Tweet,,0,0,0
781569426525126656,"This is not justice or accountability. The DOJ must investigate Wells Fargo &amp; prosecute those responsible. 
https://t.co/pqRFx9aJnd",Tulsi Gabbard,TulsiGabbard,Thu Sep 29 19:00:46 +0000 2016,100,66,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Reply,,1,0,0
781616466713989120,MAHALO  @TulsiGabbard @TulsiPress for your message last night at the #Kauai Chamber of Commerce Mea Ho`omana`o Aloha awards celebration!,Tulsi Gabbard,TulsiGabbard,Thu Sep 29 22:07:42 +0000 2016,0,8,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,1,2
781659326775570432,"I joined 50 other reps calling on @DEAHQ administrator to delay the decision to ban herbal supplement kratom.
https://t.co/YfcV8G2tv9",Tulsi Gabbard,TulsiGabbard,Fri Sep 30 00:58:00 +0000 2016,150,73,English,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Tweet,,1,0,1
781873992424574977,"When we work together, we can spread the spirit of aloha to millions of Americans across the country. #FridayFeeling",Tulsi Gabbard,TulsiGabbard,Fri Sep 30 15:11:00 +0000 2016,86,38,English,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Tweet,,0,1,0
781901489191030785,"Invasive species threaten the livelihood of communities like Kona, Kaʻu &amp; Hilo. We need to fight these pests. 
https://t.co/BSCZm7ouzA",Tulsi Gabbard,TulsiGabbard,Fri Sep 30 17:00:16 +0000 2016,39,17,English,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Tweet,,1,0,0
781958803537276930,Americans are sick of pharmaceutical companies using their $$$ to influence government policy to their own financial advantage.,Tulsi Gabbard,TulsiGabbard,Fri Sep 30 20:48:01 +0000 2016,246,123,English,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Tweet,,0,0,0
781995038691561472,"RT if you believe we need to protect our water and environment, rein in rampant abuse on Wall Street &amp; fight to stop destructive trade deals",Tulsi Gabbard,TulsiGabbard,Fri Sep 30 23:12:00 +0000 2016,245,249,English,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Tweet,,0,0,0
782024482902773761,"I’m calling on the Drug Enforcement Administration to delay the herbal supplement Kratom’s impending ban. 
https://t.co/CUj3gqXKp8",Tulsi Gabbard,TulsiGabbard,Sat Oct 01 01:09:00 +0000 2016,225,140,English,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Tweet,,1,0,0
782300364787757057,It’s unconscionable that Wells Fargo illegally repossessed cars from our troops serving in harms way. https://t.co/O77wb3AMju,Tulsi Gabbard,TulsiGabbard,Sat Oct 01 19:25:16 +0000 2016,202,161,English,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Tweet,,1,0,0
782332515897880576,We must enact campaign finance reform. The wealthy few should not be able to use their economic power to silence ordinary citizens.,Tulsi Gabbard,TulsiGabbard,Sat Oct 01 21:33:01 +0000 2016,232,115,English,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Tweet,,0,0,0
782357432332759040,#TeamTulsi is participating in the 20th anniversary of #WalkToSchool Day! Help build healthy habits that can last a lifetime. https://t.co/Chf4FnofNW,Tulsi Gabbard,TulsiGabbard,Sat Oct 01 23:12:02 +0000 2016,55,27,English,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Tweet,Photo,0,2,0
782387880249352193,"Earlier this week, after 7 months of delay, Congress finally passed a bill that helps combat Zika virus.
https://t.co/y007s4Vp0I",Tulsi Gabbard,TulsiGabbard,Sun Oct 02 01:13:01 +0000 2016,70,24,English,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Tweet,,1,0,0
782627707792203776,"We can’t undo history, but we must learn lessons from the past and carry them forward. #noDAPL
https://t.co/iyaY0zyAYO",Tulsi Gabbard,TulsiGabbard,Sun Oct 02 17:06:00 +0000 2016,115,78,English,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Tweet,,1,1,0
782658412173602816,"The TPP would give foreign corporations the right to supersede our sovereignty. We must stop this bad trade deal.
https://t.co/JsW2kfSiyn",Tulsi Gabbard,TulsiGabbard,Sun Oct 02 19:08:01 +0000 2016,172,160,English,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Tweet,,1,0,0
782665415797465088,"""A small body of determined spirits fired by an unquenchable faith in their mission can alter the course of history."" -Gandhi #GandhiJayanti",Tulsi Gabbard,TulsiGabbard,Sun Oct 02 19:35:51 +0000 2016,180,96,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,1,0
782751777221332994,"Honored to receive a 100% rating from the National Parks Action Fund. We must protect our parks from neglect. 
https://t.co/Y4VAQireks",Tulsi Gabbard,TulsiGabbard,Mon Oct 03 01:19:01 +0000 2016,164,31,English,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Tweet,,1,0,0
782787762529247232,We have a shared responsibility to stop investing in dirty oil &amp; start investing in a clean energy economy. #noDAPL,Tulsi Gabbard,TulsiGabbard,Mon Oct 03 03:42:00 +0000 2016,469,241,English,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Tweet,,0,1,0
782989090778025984,"One of the core principles of the environmental movement is the understanding that we are all connected. #noDAPL
https://t.co/SUUC8F9A45",Tulsi Gabbard,TulsiGabbard,Mon Oct 03 17:02:01 +0000 2016,107,75,English,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Tweet,,1,1,0
